Line count: 1001
-0.194164 0.141069 0.24
-0.203483 0.129134 0.241
-0.212066 0.116584 0.242
-0.219873 0.103464 0.243
-0.226866 0.0898223 0.244
-0.233009 0.075709 0.245
-0.238271 0.0611776 0.246
-0.242625 0.0462833 0.247
-0.246044 0.0310827 0.248
-0.248509 0.0156349 0.249
-0.25 6.95355e-08 0.25
-0.250505 -0.0157601 0.251
-0.250013 -0.0315842 0.252
-0.248519 -0.0474074 0.253
-0.24602 -0.0631674 0.254
-0.242519 -0.0787991 0.255
-0.238023 -0.0942401 0.256
-0.23254 -0.109425 0.257
-0.226087 -0.124292 0.258
-0.218681 -0.138779 0.259
-0.210345 -0.152824 0.26
-0.201104 -0.166368 0.261
-0.19099 -0.179351 0.262
-0.180036 -0.191719 0.263
-0.16828 -0.203415 0.264
-0.155763 -0.214389 0.265
-0.14253 -0.224591 0.266
-0.128628 -0.233974 0.267
-0.114109 -0.242494 0.268
-0.0990257 -0.25011 0.269
-0.0834343 -0.256785 0.27
-0.0673951 -0.262486 0.271
-0.0509674 -0.267182 0.272
-0.0342161 -0.270847 0.273
-0.0172048 -0.273459 0.274
3.61705e-07 -0.275 0.275
0.01733 -0.275455 0.276
0.0347177 -0.274816 0.277
0.0520919 -0.273076 0.278
0.0693849 -0.270235 0.279
0.0865246 -0.266296 0.28
0.103443 -0.261267 0.281
0.12007 -0.255161 0.282
0.136336 -0.247995 0.283
0.152175 -0.239789 0.284
0.167519 -0.23057 0.285
0.182304 -0.220367 0.286
0.196465 -0.209214 0.287
0.209943 -0.19715 0.288
0.222678 -0.184216 0.289
0.234615 -0.170458 0.29
0.245699 -0.155926 0.291
0.255882 -0.140672 0.292
0.265114 -0.124753 0.293
0.273354 -0.108229 0.294
0.280562 -0.09116 0.295
0.286701 -0.0736122 0.296
0.291739 -0.0556523 0.297
0.29565 -0.0373493 0.298
0.29841 -0.0187744 0.299
0.3 1.43099e-08 0.3
0.300406 0.0189 0.301
0.299619 0.0378501 0.302
0.297633 0.0567766 0.303
0.294449 0.0756018 0.304
0.290072 0.0942502 0.305
0.284512 0.112646 0.306
0.277782 0.130714 0.307
0.269902 0.14838 0.308
0.260898 0.16557 0.309
0.250795 0.182214 0.31
0.23963 0.198238 0.311
0.227438 0.213579 0.312
0.214263 0.228167 0.313
0.200151 0.241941 0.314
0.185152 0.25484 0.315
0.169321 0.266808 0.316
0.152716 0.277789 0.317
0.135398 0.287735 0.318
0.117432 0.296599 0.319
0.0988858 0.304338 0.32
0.0798293 0.310915 0.321
0.0603366 0.316297 0.322
0.0404824 0.320453 0.323
0.0203439 0.323361 0.324
3.96465e-07 0.325 0.325
-0.0204699 0.325357 0.326
-0.0409836 0.324422 0.327
-0.0614613 0.32219 0.328
-0.0818186 0.318664 0.329
-0.101976 0.313849 0.33
-0.121849 0.307756 0.331
-0.141358 0.300403 0.332
-0.160424 0.29181 0.333
-0.178966 0.282006 0.334
-0.196908 0.271021 0.335
-0.214174 0.258893 0.336
-0.230693 0.245662 0.337
-0.246391 0.231377 0.338
-0.261204 0.216087 0.339
-0.275066 0.199847 0.34
-0.287916 0.182717 0.341
-0.299697 0.164759 0.342
-0.310356 0.146043 0.343
-0.319843 0.126634 0.344
-0.328114 0.106611 0.345
-0.33513 0.0860469 0.346
-0.340854 0.0650215 0.347
-0.345256 0.0436162 0.348
-0.348311 0.0219134 0.349
-0.35 2.03047e-07 0.35
-0.350307 -0.0220399 0.351
-0.349224 -0.0441171 0.352
-0.346747 -0.0661454 0.353
-0.342878 -0.0880361 0.354
-0.337625 -0.109701 0.355
-0.331001 -0.131052 0.356
-0.323023 -0.152003 0.357
-0.313718 -0.172468 0.358
-0.303114 -0.192362 0.359
-0.291246 -0.211603 0.36
-0.278155 -0.23011 0.361
-0.263887 -0.247806 0.362
-0.248491 -0.264616 0.363
-0.232022 -0.280467 0.364
-0.214542 -0.295291 0.365
-0.196113 -0.309024 0.366
-0.176803 -0.321605 0.367
-0.156687 -0.332976 0.368
-0.135838 -0.343087 0.369
-0.114336 -0.351891 0.37
-0.092264 -0.359344 0.371
-0.0697059 -0.365411 0.372
-0.0467493 -0.370059 0.373
-0.0234836 -0.373262 0.374
2.23592e-08 -0.375 0.375
0.0236093 -0.375258 0.376
0.0472507 -0.374027 0.377
0.0708302 -0.371305 0.378
0.0942535 -0.367093 0.379
0.117427 -0.361401 0.38
0.140256 -0.354245 0.381
0.162648 -0.345644 0.382
0.184511 -0.335626 0.383
0.205758 -0.324222 0.384
0.226297 -0.311471 0.385
0.246046 -0.297418 0.386
0.26492 -0.282111 0.387
0.28284 -0.265604 0.388
0.29973 -0.247958 0.389
0.315516 -0.229237 0.39
0.330132 -0.209508 0.391
0.343512 -0.188848 0.392
0.355597 -0.167331 0.393
0.366332 -0.145041 0.394
0.375667 -0.122061 0.395
0.383559 -0.098481 0.396
0.389968 -0.0743901 0.397
0.394862 -0.0498824 0.398
0.398213 -0.0250539 0.399
0.4 2.79753e-07 0.4
0.400209 0.0251785 0.401
0.39883 0.0503843 0.402
0.395862 0.0755142 0.403
0.391308 0.100471 0.404
0.385178 0.125152 0.405
0.377489 0.149458 0.406
0.368264 0.173293 0.407
0.357533 0.196555 0.408
0.34533 0.219153 0.409
0.331697 0.240992 0.41
0.316681 0.261982 0.411
0.300335 0.282033 0.412
0.282718 0.301064 0.413
0.263893 0.318993 0.414
0.243931 0.335742 0.415
0.222904 0.351241 0.416
0.200892 0.36542 0.417
0.177975 0.378218 0.418
0.154244 0.389576 0.419
0.129787 0.399444 0.42
0.104699 0.407773 0.421
0.0790752 0.414525 0.422
0.0530154 0.419665 0.423
0.0266234 0.423163 0.424
-5.69135e-07 0.425 0.425
-0.0267485 0.425159 0.426
-0.0535171 0.423633 0.427
-0.080199 0.420419 0.428
-0.106688 0.415522 0.429
-0.132877 0.408954 0.43
-0.158662 0.400734 0.431
-0.183937 0.390885 0.432
-0.208599 0.379441 0.433
-0.232549 0.366438 0.434
-0.255686 0.351922 0.435
-0.277917 0.335944 0.436
-0.299147 0.318559 0.437
-0.319288 0.299832 0.438
-0.338255 0.279829 0.439
-0.355967 0.258626 0.44
-0.372349 0.236299 0.441
-0.387328 0.212935 0.442
-0.400838 0.18862 0.443
-0.412821 0.163447 0.444
-0.42322 0.137513 0.445
-0.431988 0.110916 0.446
-0.439082 0.0837594 0.447
-0.444467 0.0561493 0.448
-0.448114 0.0281929 0.449
-0.45 -3.21972e-08 0.45
-0.45011 -0.0283186 0.451
-0.448436 -0.0566507 0.452
-0.444976 -0.0848838 0.453
-0.439737 -0.112905 0.454
-0.432731 -0.140603 0.455
-0.423978 -0.167865 0.456
-0.413506 -0.19458 0.457
-0.401348 -0.220643 0.458
-0.387546 -0.245945 0.459
-0.372148 -0.270381 0.46
-0.355206 -0.293853 0.461
-0.336783 -0.316261 0.462
-0.316945 -0.337513 0.463
-0.295765 -0.357518 0.464
-0.27332 -0.376193 0.465
-0.249696 -0.393456 0.466
-0.224979 -0.409235 0.467
-0.199264 -0.423459 0.468
-0.17265 -0.436065 0.469
-0.145238 -0.446997 0.47
-0.117134 -0.456202 0.471
-0.0884437 -0.46364 0.472
-0.0592832 -0.46927 0.473
-0.0297624 -0.473065 0.474
-5.6812e-07 -0.475 0.475
0.0298886 -0.475061 0.476
0.0597843 -0.473239 0.477
0.0895677 -0.469533 0.478
0.119123 -0.463951 0.479
0.148328 -0.456507 0.48
0.177068 -0.447222 0.481
0.205225 -0.436127 0.482
0.232687 -0.423256 0.483
0.25934 -0.408655 0.484
0.285076 -0.392373 0.485
0.309788 -0.374469 0.486
0.333374 -0.355008 0.487
0.355737 -0.334059 0.488
0.376781 -0.311701 0.489
0.396419 -0.288014 0.49
0.414565 -0.263091 0.491
0.431143 -0.237022 0.492
0.44608 -0.20991 0.493
0.459309 -0.181854 0.494
0.470773 -0.152963 0.495
0.480417 -0.123351 0.496
0.488197 -0.0931279 0.497
0.494073 -0.0624162 0.498
0.498015 -0.0313318 0.499
0.5 -2.78142e-07 0.5
0.500011 0.0314578 0.501
0.498042 0.0629161 0.502
0.49409 0.0942535 0.503
0.488166 0.12534 0.504
0.480284 0.156053 0.505
0.470467 0.186271 0.506
0.458747 0.215871 0.507
0.445163 0.244732 0.508
0.429763 0.272736 0.509
0.412599 0.29977 0.51
0.393733 0.325723 0.511
0.373231 0.350489 0.512
0.351172 0.373961 0.513
0.327635 0.396044 0.514
0.30271 0.416643 0.515
0.276487 0.435673 0.516
0.249066 0.453051 0.517
0.220553 0.468701 0.518
0.191058 0.482554 0.519
0.16069 0.494549 0.52
0.129566 0.504632 0.521
0.0978121 0.512754 0.522
0.0655483 0.518876 0.523
0.0329032 0.522966 0.524
9.57534e-07 0.525 0.525
-0.0330289 0.524962 0.526
-0.0660517 0.522844 0.527
-0.0989364 0.518648 0.528
-0.131556 0.512381 0.529
-0.163778 0.50406 0.53
-0.195475 0.493711 0.531
-0.226516 0.481367 0.532
-0.256774 0.467072 0.533
-0.286131 0.450872 0.534
-0.314466 0.432823 0.535
-0.34166 0.412994 0.536
-0.367601 0.391457 0.537
-0.392185 0.368287 0.538
-0.415306 0.343572 0.539
-0.43687 0.317403 0.54
-0.456782 0.289881 0.541
-0.474958 0.261111 0.542
-0.491321 0.231199 0.543
-0.505799 0.200259 0.544
-0.518326 0.168413 0.545
-0.528846 0.135785 0.546
-0.537311 0.102498 0.547
-0.543679 0.0686833 0.548
-0.547917 0.0344706 0.549
-0.55 -1.44682e-06 0.55
-0.549913 -0.0345969 0.551
-0.547647 -0.0691833 0.552
-0.543205 -0.103621 0.553
-0.536595 -0.137776 0.554
-0.527837 -0.171504 0.555
-0.516956 -0.204677 0.556
-0.503989 -0.237159 0.557
-0.488978 -0.26882 0.558
-0.47198 -0.299527 0.559
-0.45305 -0.329159 0.56
-0.432258 -0.357594 0.561
-0.409681 -0.384715 0.562
-0.385399 -0.41041 0.563
-0.359508 -0.434569 0.564
-0.332099 -0.457094 0.565
-0.303278 -0.477889 0.566
-0.273155 -0.496866 0.567
-0.241843 -0.513942 0.568
-0.209463 -0.529043 0.569
-0.17614 -0.542102 0.57
-0.142002 -0.553061 0.571
-0.10718 -0.561869 0.572
-0.0718163 -0.568482 0.573
-0.0360421 -0.572867 0.574
-3.13006e-07 -0.575 0.575
0.036167 -0.574863 0.576
0.072317 -0.57245 0.577
0.108306 -0.567762 0.578
0.143991 -0.56081 0.579
0.17923 -0.551613 0.58
0.21388 -0.5402 0.581
0.247803 -0.526609 0.582
0.280862 -0.510887 0.583
0.312923 -0.493088 0.584
0.343854 -0.473275 0.585
0.37353 -0.451521 0.586
0.401829 -0.427905 0.587
0.428633 -0.402514 0.588
0.453832 -0.375443 0.589
0.47732 -0.346793 0.59
0.498998 -0.316674 0.591
0.518774 -0.285198 0.592
0.536562 -0.252487 0.593
0.552287 -0.218666 0.594
0.565879 -0.183865 0.595
0.577276 -0.148219 0.596
0.586425 -0.111867 0.597
0.593285 -0.0749492 0.598
0.597818 -0.0376115 0.599
0.6 5.72394e-08 0.6
0.599814 0.0377372 0.601
0.597253 0.0754507 0.602
0.592319 0.112991 0.603
0.585025 0.150207 0.604
0.575389 0.186955 0.605
0.563444 0.223084 0.606
0.54923 0.258448 0.607
0.532794 0.292906 0.608
0.514196 0.326319 0.609
0.4935 0.358549 0.61
0.470783 0.389466 0.611
0.446129 0.418943 0.612
0.419629 0.446856 0.613
0.391378 0.473095 0.614
0.361488 0.497546 0.615
0.330069 0.520106 0.616
0.297242 0.540681 0.617
0.263133 0.559182 0.618
0.227869 0.575532 0.619
0.19159 0.589655 0.62
0.154436 0.60149 0.621
0.116553 0.610982 0.622
0.0780822 0.618088 0.623
0.0391808 0.622769 0.624
-4.59473e-07 0.625 0.625
-0.0393073 0.624765 0.626
-0.078582 0.622056 0.627
-0.117676 0.616876 0.628
-0.156426 0.609239 0.629
-0.194681 0.599165 0.63
-0.232285 0.58669 0.631
-0.269093 0.57185 0.632
-0.304951 0.554702 0.633
-0.339715 0.535304 0.634
-0.373244 0.513725 0.635
-0.4054 0.490048 0.636
-0.436057 0.464353 0.637
-0.465082 0.436741 0.638
-0.492358 0.407313 0.639
-0.51777 0.376184 0.64
-0.541213 0.343466 0.641
-0.562589 0.309285 0.642
-0.581804 0.273775 0.643
-0.598776 0.237071 0.644
-0.613431 0.199318 0.645
-0.625705 0.160653 0.646
-0.63554 0.121235 0.647
-0.64289 0.0812151 0.648
-0.647719 0.0407526 0.649
-0.65 1.58586e-06 0.65
-0.649715 -0.0408775 0.651
-0.646859 -0.0817182 0.652
-0.641433 -0.122361 0.653
-0.633454 -0.162642 0.654
-0.622942 -0.202405 0.655
-0.609933 -0.241491 0.656
-0.594471 -0.279738 0.657
-0.576611 -0.316993 0.658
-0.556413 -0.353109 0.659
-0.533951 -0.387939 0.66
-0.509309 -0.421338 0.661
-0.482576 -0.453171 0.662
-0.453856 -0.483305 0.663
-0.423251 -0.51162 0.664
-0.390876 -0.537997 0.665
-0.35686 -0.562323 0.666
-0.321331 -0.584496 0.667
-0.284422 -0.604424 0.668
-0.246274 -0.622021 0.669
-0.20704 -0.637208 0.67
-0.16687 -0.64992 0.671
-0.125921 -0.660097 0.672
-0.0843505 -0.667693 0.673
-0.0423195 -0.67267 0.674
1.3599e-06 -0.675 0.675
0.0424452 -0.674666 0.676
0.0848494 -0.671662 0.677
0.127043 -0.665991 0.678
0.168862 -0.657668 0.679
0.210133 -0.646718 0.68
0.250692 -0.633178 0.681
0.29038 -0.617092 0.682
0.329039 -0.598517 0.683
0.366507 -0.577519 0.684
0.402632 -0.554177 0.685
0.437272 -0.528573 0.686
0.470283 -0.500802 0.687
0.501532 -0.470967 0.688
0.530885 -0.439184 0.689
0.558221 -0.405573 0.69
0.58343 -0.370257 0.691
0.606404 -0.333374 0.692
0.627046 -0.295063 0.693
0.645265 -0.255479 0.694
0.660984 -0.214768 0.695
0.674134 -0.173089 0.696
0.684655 -0.130603 0.697
0.692496 -0.0874808 0.698
0.697621 -0.0438914 0.699
0.7 -8.12187e-07 0.7
0.699617 0.0440154 0.701
0.696464 0.0879858 0.702
0.690548 0.131728 0.703
0.681883 0.175077 0.704
0.670495 0.217856 0.705
0.656422 0.259895 0.706
0.639712 0.301028 0.707
0.620425 0.341081 0.708
0.598629 0.379901 0.709
0.574402 0.417327 0.71
0.547834 0.45321 0.711
0.519026 0.487397 0.712
0.488083 0.519754 0.713
0.455121 0.550146 0.714
0.420267 0.578447 0.715
0.38365 0.60454 0.716
0.345418 0.628312 0.717
0.30571 0.649666 0.718
0.264682 0.668509 0.719
0.22249 0.684761 0.72
0.179306 0.698348 0.721
0.13529 0.709211 0.722
0.0906163 0.717299 0.723
0.0454607 0.722571 0.724
-2.38829e-06 0.725 0.725
-0.0455856 0.724567 0.726
-0.0911169 0.721267 0.727
-0.136413 0.715105 0.728
-0.181295 0.706097 0.729
-0.225582 0.694271 0.73
-0.269099 0.679667 0.731
-0.31167 0.662333 0.732
-0.353125 0.642333 0.733
-0.393299 0.619735 0.734
-0.432022 0.594628 0.735
-0.469144 0.567098 0.736
-0.504511 0.53725 0.737
-0.537979 0.505196 0.738
-0.569409 0.471056 0.739
-0.598673 0.434961 0.74
-0.625647 0.397048 0.741
-0.65022 0.357461 0.742
-0.672286 0.316354 0.743
-0.691754 0.273885 0.744
-0.708537 0.230218 0.745
-0.722563 0.185523 0.746
-0.733769 0.139974 0.747
-0.742102 0.0937492 0.748
-0.747522 0.04703 0.749
-0.75 -8.94366e-08 0.75
-0.749518 -0.0471558 0.751
-0.74607 -0.0942507 0.752
-0.739662 -0.141098 0.753
-0.730312 -0.187512 0.754
-0.718048 -0.233308 0.755
-0.702911 -0.278302 0.756
-0.684954 -0.322315 0.757
-0.66424 -0.365169 0.758
-0.640845 -0.406693 0.759
-0.614853 -0.446717 0.76
-0.58636 -0.48508 0.761
-0.555474 -0.521625 0.762
-0.522309 -0.556203 0.763
-0.486992 -0.588672 0.764
-0.449655 -0.618898 0.765
-0.410445 -0.646754 0.766
-0.369505 -0.672127 0.767
-0.326998 -0.694907 0.768
-0.283087 -0.714998 0.769
-0.237943 -0.732314 0.77
-0.191739 -0.746778 0.771
-0.144658 -0.758326 0.772
-0.0968821 -0.766905 0.773
-0.0485993 -0.772473 0.774
-2.36816e-06 -0.775 0.775
0.0487261 -0.774469 0.776
0.0973845 -0.770873 0.777
0.145783 -0.764219 0.778
0.19373 -0.754526 0.779
0.241031 -0.741825 0.78
0.287506 -0.726155 0.781
0.33296 -0.707574 0.782
0.377214 -0.686148 0.783
0.420086 -0.661954 0.784
0.461412 -0.635078 0.785
0.501016 -0.605623 0.786
0.538739 -0.573698 0.787
0.574428 -0.539422 0.788
0.607934 -0.502929 0.789
0.639124 -0.46435 0.79
0.667864 -0.423838 0.791
0.694035 -0.381548 0.792
0.717527 -0.337645 0.793
0.738243 -0.29229 0.794
0.75609 -0.245668 0.795
0.770992 -0.197956 0.796
0.782883 -0.149342 0.797
0.791707 -0.100018 0.798
0.797423 -0.0501685 0.799
0.8 1.11901e-06 0.8
0.799419 0.0502963 0.801
0.795676 0.100515 0.802
0.788777 0.150465 0.803
0.778741 0.199948 0.804
0.7656 0.24876 0.805
0.7494 0.296707 0.806
0.730196 0.343602 0.807
0.708055 0.389258 0.808
0.683061 0.433485 0.809
0.655303 0.476107 0.81
0.624887 0.516949 0.811
0.591924 0.555851 0.812
0.556536 0.592652 0.813
0.518862 0.627199 0.814
0.479046 0.659348 0.815
0.437236 0.688971 0.816
0.393594 0.715942 0.817
0.348286 0.740149 0.818
0.301493 0.761488 0.819
0.253395 0.779866 0.82
0.204176 0.795206 0.821
0.154026 0.80744 0.822
0.103148 0.816511 0.823
0.0517409 0.822374 0.824
1.46534e-06 0.825 0.825
-0.0518635 0.82437 0.826
-0.103652 0.820479 0.827
-0.155153 0.813334 0.828
-0.206163 0.802956 0.829
-0.256483 0.789377 0.83
-0.30591 0.772645 0.831
-0.35425 0.752815 0.832
-0.4013 0.729964 0.833
-0.446878 0.70417 0.834
-0.4908 0.67553 0.835
-0.532888 0.644148 0.836
-0.572967 0.610145 0.837
-0.610875 0.573651 0.838
-0.64646 0.5348 0.839
-0.679574 0.493741 0.84
-0.710081 0.450629 0.841
-0.73785 0.405638 0.842
-0.762769 0.358933 0.843
-0.784731 0.310698 0.844
-0.803643 0.261117 0.845
-0.819422 0.21039 0.846
-0.831997 0.158713 0.847
-0.841313 0.106284 0.848
-0.847325 0.0533101 0.849
-0.85 -2.27654e-06 0.85
-0.849321 -0.0534338 0.851
-0.845282 -0.106783 0.852
-0.837891 -0.159835 0.853
-0.82717 -0.21238 0.854
-0.813153 -0.264212 0.855
-0.795889 -0.315114 0.856
-0.775437 -0.364892 0.857
-0.751872 -0.413344 0.858
-0.725276 -0.460277 0.859
-0.695755 -0.505495 0.86
-0.663412 -0.548822 0.861
-0.628371 -0.590079 0.862
-0.590765 -0.629099 0.863
-0.550732 -0.665725 0.864
-0.508435 -0.699799 0.865
-0.464027 -0.731188 0.866
-0.417681 -0.759758 0.867
-0.369577 -0.78539 0.868
-0.319901 -0.807976 0.869
-0.268845 -0.827419 0.87
-0.216609 -0.843636 0.871
-0.163397 -0.856554 0.872
-0.109413 -0.866117 0.873
-0.0548794 -0.872275 0.874
-4.34577e-07 -0.875 0.875
0.0550041 -0.874271 0.876
0.109917 -0.870085 0.877
0.16452 -0.862448 0.878
0.218598 -0.851385 0.879
0.271935 -0.83693 0.88
0.324317 -0.819133 0.881
0.37554 -0.798056 0.882
0.425388 -0.773779 0.883
0.473671 -0.746386 0.884
0.52019 -0.71598 0.885
0.564757 -0.682675 0.886
0.607193 -0.646595 0.887
0.647324 -0.607878 0.888
0.684986 -0.56667 0.889
0.720025 -0.523129 0.89
0.752296 -0.477422 0.891
0.781666 -0.429724 0.892
0.808011 -0.380221 0.893
0.83122 -0.329103 0.894
0.851196 -0.27657 0.895
0.867851 -0.222826 0.896
0.881112 -0.168081 0.897
0.890919 -0.112549 0.898
0.897226 -0.0564486 0.899
